"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter"
"2168","1.771","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2169","1.772","51:48:89:c2:ea:aa","LE 1M","LE LL","37","13302\302\265s","","","","0"
"2170","1.773","51:48:89:c2:ea:aa","LE 1M","LE LL","37","158\302\265s","","","","0"
"2171","1.773","51:48:89:c2:ea:aa","LE 1M","LE LL","37","156\302\265s","","","","0"
"2172","1.774","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","10454\302\265s","","","","0"
"2173","1.775","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2174","1.775","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2175","1.776","4d:be:63:3e:45:54","LE 1M","LE LL","25","2738\302\265s","","","","0"
"2176","1.776","4d:be:63:3e:45:54","LE 1M","LE LL","25","368\302\265s","","","","0"
"2177","1.777","4d:be:63:3e:45:54","LE 1M","LE LL","25","737\302\265s","","","","0"
"2178","1.777","06:94:a3:57:80:5b","LE 1M","LE LL","37","8414\302\265s","","","","0"
"2179","1.778","06:94:a3:57:80:5b","LE 1M","LE LL","37","178\302\265s","","","","0"
"2180","1.779","06:94:a3:57:80:5b","LE 1M","LE LL","37","178\302\265s","","","","0"
"2181","1.780","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","8117\302\265s","","","","0"
"2182","1.781","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2183","1.781","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","238\302\265s","","","","0"
"2184","1.782","08:9a:ba:f9:a8:35","LE 1M","LE LL","36","2222\302\265s","","","","0"
"2185","1.782","08:9a:ba:f9:a8:35","LE 1M","LE LL","36","136\302\265s","","","","0"
"2186","1.783","08:9a:ba:f9:a8:35","LE 1M","LE LL","36","137\302\265s","","","","0"
"2187","1.783","59:51:34:3a:99:17","LE 1M","LE LL","21","4443\302\265s","","","","0"
"2188","1.784","59:51:34:3a:99:17","LE 1M","LE LL","21","356\302\265s","","","","0"
"2189","1.784","59:51:34:3a:99:17","LE 1M","LE LL","21","743\302\265s","","","","0"
"2190","1.785","2b:30:4f:37:6b:88","LE 1M","LE LL","34","4547\302\265s","","","","0"
"2191","1.786","2b:30:4f:37:6b:88","LE 1M","LE LL","34","132\302\265s","","","","0"
"2192","1.787","2b:30:4f:37:6b:88","LE 1M","LE LL","34","132\302\265s","","","","0"
"2193","1.788","SamsungE_1e:32:63","LE 1M","LE LL","37","2885\302\265s","","","","0"
"2194","1.789","SamsungE_1e:32:63","LE 1M","LE LL","37","560\302\265s","","","","0"
"2195","1.789","ff:1c:38:90:a2:b1","LE 1M","LE LL","14","2359\302\265s","","","","0"
"2196","1.790","82:e8:2c:83:3b:90","LE 1M","LE LL","35","5347\302\265s","","","","0"
"2197","1.791","82:e8:2c:83:3b:90","LE 1M","LE LL","35","360\302\265s","","","","0"
"2198","1.791","82:e8:2c:83:3b:90","LE 1M","LE LL","35","832\302\265s","","","","0"
"2199","1.792","0e:22:ea:02:0f:bb","LE 1M","LE LL","37","618\302\265s","","","","0"
"2200","1.793","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","1601\302\265s","","","","0"
"2201","1.794","00:7d:c4:73:eb:8d","LE 1M","LE LL","37","179\302\265s","","","","0"
